127.0.0.1 - - [21/Feb/2021:23:59:45 +0100] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Feb/2021:23:59:46 +0100] "GET /veb-projekat/ HTTP/1.1" 200 4680
0:0:0:0:0:0:0:1 - - [21/Feb/2021:23:59:46 +0100] "GET /veb-projekat/bootstrap.css HTTP/1.1" 200 198240
0:0:0:0:0:0:0:1 - - [21/Feb/2021:23:59:46 +0100] "GET /veb-projekat/bootstrap.css.map HTTP/1.1" 200 508537
0:0:0:0:0:0:0:1 - - [21/Feb/2021:23:59:46 +0100] "GET /veb-projekat/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [21/Feb/2021:23:59:46 +0100] "GET /veb-projekat/bootstrap.js HTTP/1.1" 200 143686
0:0:0:0:0:0:0:1 - - [21/Feb/2021:23:59:46 +0100] "GET /veb-projekat/bootstrap.js.map HTTP/1.1" 200 253028
0:0:0:0:0:0:0:1 - - [21/Feb/2021:23:59:46 +0100] "GET /veb-projekat/js/index.js HTTP/1.1" 200 4789
0:0:0:0:0:0:0:1 - - [21/Feb/2021:23:59:46 +0100] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Feb/2021:23:59:46 +0100] "GET /veb-projekat/rest/korisnici/trenutniKorisnik HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [21/Feb/2021:23:59:47 +0100] "GET /veb-projekat/rest/manifestacije/getAktivneManifestacije HTTP/1.1" 200 341639
0:0:0:0:0:0:0:1 - - [21/Feb/2021:23:59:49 +0100] "PUT /veb-projekat/rest/manifestacije/setOdabranaManifestacija HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [21/Feb/2021:23:59:49 +0100] "GET /veb-projekat/detaljanPrikazManifestacije.html HTTP/1.1" 200 4543
0:0:0:0:0:0:0:1 - - [21/Feb/2021:23:59:49 +0100] "GET /veb-projekat/js/detaljanPrikazManifestacije.js HTTP/1.1" 200 5504
